Date,Campaign name,Ad group name,Ad name,Ad entity status,Ad ID,Spend in account currency,Impressions,Reach,Frequency,CPM,Result,Cost per result,Pin clicks,CTR,CPC,Outbound clicks,Saves,Engagements,Engagement rate,Total CPA (Checkout),Total ROAS (Checkout),Total conversions (Checkout),Total order value (Checkout),Total click-through conversions (Checkout),Total click-through order value (Checkout),Total engagement conversions (Checkout),Total engagement order value (Checkout),Total view-through conversions (Checkout),Total view-through order value (Checkout),Total CPA (Add to cart),Total ROAS (Add to cart),Total conversions (Add to cart),Total order value (Add to cart),Total click-through conversions (Add to cart),Total click-through order value (Add to cart),Total engagement conversions (Add to cart),Total engagement order value (Add to cart),Total view-through conversions (Add to cart),Total view-through order value (Add to cart),Total CPA (Page visit),Total ROAS (Page visit),Total conversions (Page visit),Total order value (Page visit),Total click-through conversions (Page visit),Total click-through order value (Page visit),Total engagement conversions (Page visit),Total engagement order value (Page visit),Total view-through conversions (Page visit),Total view-through order value (Page visit),Total CPA (Initiate checkout),Total ROAS (Initiate checkout),Total conversions (Initiate checkout),Total order value (Initiate checkout),Average order value (Initiate checkout),Total click-through conversions (Initiate checkout),Total click-through order value (Initiate checkout),Total engagement conversions (Initiate checkout),Total engagement order value (Initiate checkout),Total view-through conversions (Initiate checkout),Total view-through order value (Initiate checkout),Earned saves,Organic pin ID
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Baby Change Mat Australia - Co,ACTIVE,PP687311495518,5.51,403,366,1.1010928961748634,13.67305210918114,[19],[1.8367466666666667],3,0.007444168734491315,1.8367466666666667,3,0,3,0.007444168734491315,0,0,0,0,0,0,0,0,0,0,5.51024,25.399982577891343,1,139.96,0,0,0,0,1,139.96,0.3673493333333333,233.56514416794911,15,1287.00,4,338.00,0,0,11,949.00,5.51024,12.699991288945672,1,69.98,69.98,0,0,0,0,1,69.98,0,P1130966525274916405
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Baby Change Mat Australia - Co,ACTIVE,PP687311495518,7.01,598,522,1.1455938697318007,11.729576923076923,[16],[1.4028573999999998],5,0.008361204013377926,1.4028573999999998,5,0,5,0.008361204013377926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6376624545454546,24.09368193802164,11,169.00,4,169.00,0,0,7,0,3.5071435,199.30749910860504,2,1398.00,699.00,0,0,0,0,2,1398.00,0,P1130966525274916405
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Baby Change Mat Australia - Co,ACTIVE,PP687311495518,3.48,333,297,1.121212121212121,10.4576006006006,[3],[1.7411905],2,0.006006006006006006,1.7411905,2,0,2,0.006006006006006006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1607936666666667,145.59004313428082,3,507.00,3,507.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274916405
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Baby Change Mat Australia - Co,ACTIVE,PP687311495518,1.56,114,103,1.1067961165048543,13.727035087719297,[0],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274916405
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Bedside Bassinet Australia - C,ACTIVE,PP687311495519,0.51,15,12,1.25,33.78606666666667,[0],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274846018
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Bedside Bassinet Australia - C,ACTIVE,PP687311495519,1.15,139,134,1.037313432835821,8.251776978417265,[3],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5734985,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274846018
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Bedside Bassinet Australia - C,ACTIVE,PP687311495519,3.00,358,341,1.0498533724340176,8.382131284916202,[2],[3.000803],1,0.002793296089385475,3.000803,1,0,1,0.002793296089385475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.000803,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274846018
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Bedside Bassinet Australia - C,ACTIVE,PP687311495519,0.77,189,174,1.0862068965517242,4.084116402116402,[12],[0.771898],1,0.005291005291005291,0.771898,1,0,1,0.005291005291005291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771898,3986.2650246535163,10,3076.99,2,379.99,0,0,8,2697.00,0.771898,2781.4555809187223,1,2147.00,2147.00,0,0,0,0,1,2147.00,0,P1130966525274846018
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Bedside Bassinet Australia - C,ACTIVE,PP687311495519,0.97,260,241,1.0788381742738589,3.7171923076923075,[1],[0.483235],2,0.007692307692307693,0.483235,2,0,2,0.007692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96647,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274846018
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Bedside Bassinet Australia - C,ACTIVE,PP687311495519,0.93,202,185,1.0918918918918918,4.619524752475247,[0],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274846018
