Report Name: Campaign Performance
Report Granularity: Daily
Report Primary Entity: Ad
Report Date Range: 2026-05-27 - 2026-06-25 (UTC)
Report Data as of: 2026-06-25 14:13:30 (UTC)

Campaign id,Campaign name,Ad set id,Ad set name,Ad id,Ad name,Ad format,Date,Impressions,Reach,Frequency,Clicks,CTR,Spend,CPC,CPM,completion rate,Starts,Ad played to: 25%,Ad played to: 50%,Ad played to: 75%,Ad played to: 100%,page views,Adds to cart,Purchases,Attributed revenue,Average order value (AOV),Return on ad spend (ROAS),Customer acquisition cost (CAC),Start checkouts,Products
0886a6c8-7b7e-40a3-a172-0185e33150bc,Spotify_WebsiteVisits_CocoonAU_2026-06,8cd81152-523c-459d-9b7f-9d0228544114,cocoon_carousel_contextual_AU,a7027df0-c5b3-4a5a-a04b-8fb1538faf6d," carousel_cots-range_v1",Catalog,2026/06/09,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0886a6c8-7b7e-40a3-a172-0185e33150bc,Spotify_WebsiteVisits_CocoonAU_2026-06,8cd81152-523c-459d-9b7f-9d0228544114,cocoon_carousel_contextual_AU,a7027df0-c5b3-4a5a-a04b-8fb1538faf6d," carousel_cots-range_v1",Catalog,2026/06/10,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0886a6c8-7b7e-40a3-a172-0185e33150bc,Spotify_WebsiteVisits_CocoonAU_2026-06,8cd81152-523c-459d-9b7f-9d0228544114,cocoon_carousel_contextual_AU,a7027df0-c5b3-4a5a-a04b-8fb1538faf6d," carousel_cots-range_v1",Catalog,2026/06/11,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0886a6c8-7b7e-40a3-a172-0185e33150bc,Spotify_WebsiteVisits_CocoonAU_2026-06,8cd81152-523c-459d-9b7f-9d0228544114,cocoon_carousel_contextual_AU,a7027df0-c5b3-4a5a-a04b-8fb1538faf6d," carousel_cots-range_v1",Catalog,2026/06/12,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0886a6c8-7b7e-40a3-a172-0185e33150bc,Spotify_WebsiteVisits_CocoonAU_2026-06,8cd81152-523c-459d-9b7f-9d0228544114,cocoon_carousel_contextual_AU,a7027df0-c5b3-4a5a-a04b-8fb1538faf6d," carousel_cots-range_v1",Catalog,2026/06/13,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0886a6c8-7b7e-40a3-a172-0185e33150bc,Spotify_WebsiteVisits_CocoonAU_2026-06,8cd81152-523c-459d-9b7f-9d0228544114,cocoon_carousel_contextual_AU,a7027df0-c5b3-4a5a-a04b-8fb1538faf6d," carousel_cots-range_v1",Catalog,2026/06/14,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0886a6c8-7b7e-40a3-a172-0185e33150bc,Spotify_WebsiteVisits_CocoonAU_2026-06,8cd81152-523c-459d-9b7f-9d0228544114,cocoon_carousel_contextual_AU,a7027df0-c5b3-4a5a-a04b-8fb1538faf6d," carousel_cots-range_v1",Catalog,2026/06/15,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0886a6c8-7b7e-40a3-a172-0185e33150bc,Spotify_WebsiteVisits_CocoonAU_2026-06,8cd81152-523c-459d-9b7f-9d0228544114,cocoon_carousel_contextual_AU,a7027df0-c5b3-4a5a-a04b-8fb1538faf6d," carousel_cots-range_v1",Catalog,2026/06/16,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0886a6c8-7b7e-40a3-a172-0185e33150bc,Spotify_WebsiteVisits_CocoonAU_2026-06,8cd81152-523c-459d-9b7f-9d0228544114,cocoon_carousel_contextual_AU,a7027df0-c5b3-4a5a-a04b-8fb1538faf6d," carousel_cots-range_v1",Catalog,2026/06/17,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0886a6c8-7b7e-40a3-a172-0185e33150bc,Spotify_WebsiteVisits_CocoonAU_2026-06,8cd81152-523c-459d-9b7f-9d0228544114,cocoon_carousel_contextual_AU,a7027df0-c5b3-4a5a-a04b-8fb1538faf6d," carousel_cots-range_v1",Catalog,2026/06/18,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
