Date,Campaign name,Ad group name,Spend in account currency,Impressions,Reach,Outbound clicks,Saves,Engagements,Total conversions (Checkout),Total order value (Checkout)
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.27,36,35,0,0,0,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.11,25,22,1,0,1,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.54,62,58,0,0,0,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.48,79,59,0,0,0,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.88,86,74,2,0,2,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.13,11,11,0,0,0,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.75,98,86,1,0,1,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.10,9,8,0,0,0,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,2.37,263,259,1,0,1,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,1.59,228,225,0,0,0,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.45,81,73,1,0,1,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.15,18,17,0,0,0,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,9.95,595,532,8,0,8,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,5.51,403,366,3,0,3,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.77,189,174,1,0,1,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,5.03,281,270,4,0,4,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.75,74,70,0,0,5,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,5.67,548,519,4,0,4,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.82,65,63,1,0,4,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.23,28,27,0,0,0,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,2.27,122,102,1,0,1,0,0
