"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level","Result type",Results,"Cost per result","Amount spent (AUD)",Impressions,Reach,"Attribution setting","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name",Purchases,"Purchases conversion value","Link clicks","Reporting starts","Reporting ends"
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Nursery Chairs",2026-04-12,active,ad,,,,23.52,1955,1185,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,67,2026-04-12,2026-04-12
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe White grow",2026-04-12,active,ad,,,,3.35,203,168,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,2,2026-04-12,2026-04-12
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Dresser | Effortless organization",2026-04-11,active,ad,,,,8.14,607,414,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,15,2026-04-11,2026-04-11
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Evoke Bundle",2026-04-11,active,ad,,,,16.29,1027,831,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,18,2026-04-11,2026-04-11
"RB | Traffic | 260326","RB | Traffic | LPV | LL | FB IG | 260326","RB | AI generated Video | Bundle | Vibe Sandstone",2026-04-11,active,ad,"Landing page views",53,0.26075472,13.82,1949,1623,"7-day click or 1-day view","Above average",Average,"Below average - Bottom 10% of ads","RB | Traffic | LPV | LL | FB IG | 260326",,,66,2026-04-11,2026-04-11
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe Sandstone Bundle",2026-04-11,active,ad,,,,12.3,804,592,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,20,2026-04-11,2026-04-11
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Cot | Built for every milestone",2026-04-11,active,ad,,,,5.21,372,257,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,8,2026-04-11,2026-04-11
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Nursery Chairs",2026-04-11,active,ad,,,,18.06,1444,988,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,59,2026-04-11,2026-04-11
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe White grow",2026-04-11,active,ad,,,,4.07,184,153,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,4,2026-04-11,2026-04-11
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe White grow",2026-04-10,active,ad,,,,3.28,152,111,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,2,2026-04-10,2026-04-10
