"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level","Result type",Results,"Cost per result","Amount spent (AUD)",Impressions,Reach,"Attribution setting","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name",Purchases,"Purchases conversion value","Link clicks","Reporting starts","Reporting ends"
"Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...","Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...","Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...",2026-02-22,not_delivering,ad,,,,39.4,1883,1191,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...",,,72,2026-02-22,2026-02-22
"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",2026-02-22,not_delivering,ad,,,,34.42,1097,634,"7-day click",-,-,-,"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",,,31,2026-02-22,2026-02-22
"Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...","Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...","Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...",2026-02-22,not_delivering,ad,,,,20.25,851,568,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...",,,19,2026-02-22,2026-02-22
"Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...","Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...","Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...",2026-02-21,not_delivering,ad,,,,42,2093,1279,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...",,,62,2026-02-21,2026-02-21
"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",2026-02-21,not_delivering,ad,,,,37.58,1390,831,"7-day click",-,-,-,"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",,,42,2026-02-21,2026-02-21
"Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...","Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...","Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...",2026-02-21,not_delivering,ad,,,,21.68,937,611,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...",,,18,2026-02-21,2026-02-21
"Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...","Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...","Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...",2026-02-20,not_delivering,ad,,,,27.64,961,596,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...",,,15,2026-02-20,2026-02-20
"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",2026-02-20,not_delivering,ad,,,,8.3,361,291,"7-day click",-,-,-,"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",,,4,2026-02-20,2026-02-20
"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",2026-02-20,not_delivering,ad,,,,40.24,1653,1043,"7-day click",-,-,-,"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",,,31,2026-02-20,2026-02-20
"Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...","Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...","Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...",2026-02-20,not_delivering,ad,"Website purchases",2,23.355,46.71,2234,1358,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...",2,2241.03,64,2026-02-20,2026-02-20
"Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...","Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...","Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...",2026-02-19,not_delivering,ad,,,,21.32,1037,767,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ Award winning COCOON Vibe 4...",,,31,2026-02-19,2026-02-19
"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",2026-02-19,not_delivering,ad,,,,41.86,1967,1341,"7-day click",-,-,-,"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",,,36,2026-02-19,2026-02-19
"Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...","Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...","Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...",2026-02-19,not_delivering,ad,,,,15.87,761,560,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ COCOON ALLURE DOVE GREY is...",,,21,2026-02-19,2026-02-19
"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",2026-02-19,not_delivering,ad,,,,41.55,1190,829,"7-day click",-,-,-,"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",,,17,2026-02-19,2026-02-19
"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",2026-02-18,not_delivering,ad,,,,37.26,1766,1051,"7-day click",-,-,-,"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",,,31,2026-02-18,2026-02-18
"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",2026-02-17,not_delivering,ad,,,,17.81,1101,803,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",,,48,2026-02-17,2026-02-17
"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",2026-02-17,not_delivering,ad,"Website purchases",1,43.51,43.51,1841,1164,"7-day click",-,-,-,"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",1,379.02,29,2026-02-17,2026-02-17
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe Sandstone Bundle",2026-02-16,active,ad,"Website purchases",0,,0,0,0,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",0,18.1,,2026-02-16,2026-02-16
"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",2026-02-16,not_delivering,ad,,,,42.91,1879,1280,"7-day click",-,-,-,"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",,,50,2026-02-16,2026-02-16
"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",2026-02-16,not_delivering,ad,,,,25.33,1622,1162,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",,,58,2026-02-16,2026-02-16
"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",2026-02-15,not_delivering,ad,,,,42.83,2145,1404,"7-day click",-,-,-,"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",,,52,2026-02-15,2026-02-15
"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",2026-02-15,not_delivering,ad,"Website purchases",1,24.75,24.75,1725,1238,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",1,2105.62,74,2026-02-15,2026-02-15
"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...","Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",2026-02-14,not_delivering,ad,,,,22.87,1169,800,"7-day click",-,-,-,"Instagram post: NOW AVAILABLE IN AUSTRALIA 🇦🇺...",,,33,2026-02-14,2026-02-14
"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",2026-02-14,not_delivering,ad,"Website purchases",2,13.245,26.49,1706,1227,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",2,3121.19,78,2026-02-14,2026-02-14
"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",2026-02-13,not_delivering,ad,,,,25.61,1489,1041,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",,,61,2026-02-13,2026-02-13
"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",2026-02-13,not_delivering,ad,,,,0.81,42,41,"7-day click",-,-,-,"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",,,,2026-02-13,2026-02-13
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Evoke Bundle",2026-02-12,active,ad,,,,11.78,1094,682,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,12,2026-02-12,2026-02-12
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women",Allure_Bundle,2026-02-12,inactive,ad,,,,2.92,307,238,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,2,2026-02-12,2026-02-12
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | the Cocoon Bundle | Lolli bundle",2026-02-12,inactive,ad,,,,12.21,1053,657,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,13,2026-02-12,2026-02-12
"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",2026-02-12,not_delivering,ad,,,,23.59,1763,1362,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",,,72,2026-02-12,2026-02-12
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe Sandstone Bundle",2026-02-12,active,ad,,,,1.44,154,121,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,,2026-02-12,2026-02-12
"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",2026-02-12,not_delivering,ad,,,,18.5,905,658,"7-day click",-,-,-,"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",,,15,2026-02-12,2026-02-12
"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",2026-02-11,not_delivering,ad,,,,29.2,1919,1324,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",,,99,2026-02-11,2026-02-11
"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",2026-02-11,not_delivering,ad,,,,19.29,982,686,"7-day click",-,-,-,"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",,,20,2026-02-11,2026-02-11
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe Sandstone Bundle",2026-02-11,active,ad,"Website purchases",0,,36.39,3607,1784,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",0,352.37,16,2026-02-11,2026-02-11
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | the Cocoon Bundle | Lolli bundle",2026-02-11,inactive,ad,,,,2.39,125,98,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,2,2026-02-11,2026-02-11
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women",Allure_Bundle,2026-02-11,inactive,ad,,,,0.52,58,51,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,,2026-02-11,2026-02-11
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Evoke Bundle",2026-02-11,active,ad,,,,0.06,4,4,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,1,2026-02-11,2026-02-11
"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...","Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",2026-02-10,not_delivering,ad,,,,1.88,93,87,"7-day click",-,-,-,"Instagram post: ❤️💕❤️ Award winning COCOON BREEZE...",,,4,2026-02-10,2026-02-10
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe Sandstone Bundle",2026-02-10,active,ad,,,,39.91,4133,2650,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,29,2026-02-10,2026-02-10
"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",2026-02-10,not_delivering,ad,,,,26.56,1109,797,"7-day click",-,-,-,"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",,,44,2026-02-10,2026-02-10
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe Sandstone Bundle",2026-02-09,active,ad,,,,2.76,344,305,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,,2026-02-09,2026-02-09
"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",2026-02-09,not_delivering,ad,,,,32.36,1703,1231,"7-day click",-,-,-,"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",,,50,2026-02-09,2026-02-09
"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",2026-02-08,not_delivering,ad,"Website purchases",1,30.71,30.71,1516,1103,"7-day click",-,-,-,"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",1,307.53,38,2026-02-08,2026-02-08
"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",2026-02-07,not_delivering,ad,,,,28.72,1666,1335,"7-day click",-,-,-,"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",,,53,2026-02-07,2026-02-07
"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...","Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",2026-02-06,not_delivering,ad,,,,17.4,1060,822,"7-day click",-,-,-,"Instagram post: 💕❤️💕 COCOON BREEZE Bedside...",,,23,2026-02-06,2026-02-06
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-02-06,inactive,ad,,,,8.34,827,621,Incremental,-,-,-,New_Creatives_Ad_set,,,5,2026-02-06,2026-02-06
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-02-06,inactive,ad,"Website purchases",2,8.185,16.37,1666,1083,Incremental,-,-,-,New_Creatives_Ad_set,2,1297.9,9,2026-02-06,2026-02-06
RB_Cocoon_Australia_opening_15012026,Recliner,"AO - Recliner",2026-02-05,not_delivering,ad,,,,7.05,590,439,Incremental,-,-,-,Recliner,,,16,2026-02-05,2026-02-05
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-02-05,inactive,ad,"Website purchases",0,,7.52,899,685,Incremental,-,-,-,New_Creatives_Ad_set,0,81.96,1,2026-02-05,2026-02-05
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-02-05,inactive,ad,,,,19.07,2462,1597,Incremental,-,-,-,New_Creatives_Ad_set,,,11,2026-02-05,2026-02-05
RB_Cocoon_Australia_opening_15012026,Recliner,"AO - Recliner",2026-02-04,not_delivering,ad,,,,6.25,653,490,Incremental,-,-,-,Recliner,,,12,2026-02-04,2026-02-04
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-02-04,inactive,ad,,,,4.67,699,503,Incremental,-,-,-,New_Creatives_Ad_set,,,4,2026-02-04,2026-02-04
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-02-04,inactive,ad,,,,23.61,3070,1922,Incremental,-,-,-,New_Creatives_Ad_set,,,9,2026-02-04,2026-02-04
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-02-03,inactive,ad,,,,22.63,3064,1693,Incremental,-,-,-,New_Creatives_Ad_set,,,13,2026-02-03,2026-02-03
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-02-03,inactive,ad,,,,8.21,1088,764,Incremental,-,-,-,New_Creatives_Ad_set,,,6,2026-02-03,2026-02-03
RB_Cocoon_Australia_opening_15012026,Recliner,"AO - Recliner",2026-02-03,not_delivering,ad,,,,6.96,595,460,Incremental,-,-,-,Recliner,,,20,2026-02-03,2026-02-03
RB_Cocoon_Australia_opening_15012026,Recliner,"AO - Recliner",2026-02-02,not_delivering,ad,,,,7.43,695,538,Incremental,-,-,-,Recliner,,,26,2026-02-02,2026-02-02
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-02-02,inactive,ad,"Website purchases",1,8.23,8.23,947,678,Incremental,-,-,-,New_Creatives_Ad_set,1,275.91,6,2026-02-02,2026-02-02
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-02-02,inactive,ad,"Website purchases",1,21.32,21.32,2680,1418,Incremental,-,-,-,New_Creatives_Ad_set,1,793.07,14,2026-02-02,2026-02-02
RB_Cocoon_Australia_opening_15012026,Recliner,"AO - Recliner",2026-02-01,not_delivering,ad,,,,8.63,695,521,Incremental,-,-,-,Recliner,,,28,2026-02-01,2026-02-01
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-02-01,inactive,ad,,,,7.72,1112,834,Incremental,-,-,-,New_Creatives_Ad_set,,,8,2026-02-01,2026-02-01
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-02-01,inactive,ad,,,,26.85,3977,2209,Incremental,-,-,-,New_Creatives_Ad_set,,,13,2026-02-01,2026-02-01
RB_Cocoon_Australia_opening_15012026,Recliner,"AO - Recliner",2026-01-31,not_delivering,ad,,,,6.23,729,548,Incremental,-,-,-,Recliner,,,18,2026-01-31,2026-01-31
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-01-31,inactive,ad,"Website purchases",0,,5.92,1036,798,Incremental,-,-,-,New_Creatives_Ad_set,0,3.66,6,2026-01-31,2026-01-31
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-01-31,inactive,ad,,,,26.81,3257,1746,Incremental,-,-,-,New_Creatives_Ad_set,,,15,2026-01-31,2026-01-31
RB_Cocoon_Australia_opening_15012026,Recliner,"AO - Recliner",2026-01-30,not_delivering,ad,,,,5.01,256,194,Incremental,-,-,-,Recliner,,,12,2026-01-30,2026-01-30
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-01-30,inactive,ad,,,,6.02,576,425,Incremental,-,-,-,New_Creatives_Ad_set,,,13,2026-01-30,2026-01-30
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-01-30,inactive,ad,"Website purchases",1,16.97,16.97,1795,1178,Incremental,-,-,-,New_Creatives_Ad_set,1,1935.71,50,2026-01-30,2026-01-30
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-01-29,inactive,ad,,,,5.79,574,402,Incremental,-,-,-,New_Creatives_Ad_set,,,17,2026-01-29,2026-01-29
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-01-29,inactive,ad,,,,22.59,1862,1220,Incremental,-,-,-,New_Creatives_Ad_set,,,56,2026-01-29,2026-01-29
RB_Cocoon_Australia_opening_15012026,Recliner,"AO - Recliner",2026-01-29,not_delivering,ad,,,,6.79,426,321,Incremental,-,-,-,Recliner,,,12,2026-01-29,2026-01-29
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-01-28,inactive,ad,,,,20.24,2383,1512,Incremental,-,-,-,New_Creatives_Ad_set,,,71,2026-01-28,2026-01-28
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-01-28,inactive,ad,,,,6.59,644,488,Incremental,-,-,-,New_Creatives_Ad_set,,,27,2026-01-28,2026-01-28
RB_Cocoon_Australia_opening_15012026,Recliner,"AO - Recliner",2026-01-28,not_delivering,ad,,,,5.69,421,331,Incremental,-,-,-,Recliner,,,8,2026-01-28,2026-01-28
RB_Cocoon_Australia_opening_15012026,Recliner,"AO - Recliner",2026-01-27,not_delivering,ad,"Website purchases",0,,7.21,621,441,Incremental,-,-,-,Recliner,0,41.51,13,2026-01-27,2026-01-27
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-01-27,inactive,ad,"Website purchases",1,7.63,7.63,834,557,Incremental,-,-,-,New_Creatives_Ad_set,1,759,18,2026-01-27,2026-01-27
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-01-27,inactive,ad,,,,23.75,3075,1955,Incremental,-,-,-,New_Creatives_Ad_set,,,82,2026-01-27,2026-01-27
RB_Cocoon_Australia_opening_15012026,Recliner,"AO - Recliner",2026-01-26,not_delivering,ad,,,,9.28,781,627,Incremental,-,-,-,Recliner,,,21,2026-01-26,2026-01-26
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-01-26,inactive,ad,,,,8.29,1109,840,Incremental,-,-,-,New_Creatives_Ad_set,,,20,2026-01-26,2026-01-26
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-01-26,inactive,ad,"Website purchases",0,,26.68,3437,2199,Incremental,-,-,-,New_Creatives_Ad_set,0,42.95,73,2026-01-26,2026-01-26
RB_Cocoon_Australia_opening_15012026,Recliner,"AO - Recliner",2026-01-25,not_delivering,ad,,,,8.56,845,623,Incremental,-,-,-,Recliner,,,17,2026-01-25,2026-01-25
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-01-25,inactive,ad,,,,9.2,1062,714,Incremental,-,-,-,New_Creatives_Ad_set,,,25,2026-01-25,2026-01-25
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-01-25,inactive,ad,,,,22.91,2952,1934,Incremental,-,-,-,New_Creatives_Ad_set,,,69,2026-01-25,2026-01-25
RB_Cocoon_Australia_opening_15012026,Recliner,"AO - Recliner",2026-01-24,not_delivering,ad,,,,6.34,514,418,Incremental,-,-,-,Recliner,,,12,2026-01-24,2026-01-24
"Instagram post: 💕❤️💕 The innovative COCOON BREEZE...","Instagram post: 💕❤️💕 The innovative COCOON BREEZE...","Instagram post: 💕❤️💕 The innovative COCOON BREEZE...",2026-01-24,not_delivering,ad,,,,19.11,982,772,"7-day click",-,-,-,"Instagram post: 💕❤️💕 The innovative COCOON BREEZE...",,,15,2026-01-24,2026-01-24
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-01-24,inactive,ad,,,,8.32,866,672,Incremental,-,-,-,New_Creatives_Ad_set,,,38,2026-01-24,2026-01-24
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-01-24,inactive,ad,,,,20.09,2459,1718,Incremental,-,-,-,New_Creatives_Ad_set,,,78,2026-01-24,2026-01-24
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-01-23,inactive,ad,,,,9.34,937,719,Incremental,-,-,-,New_Creatives_Ad_set,,,33,2026-01-23,2026-01-23
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-01-23,inactive,ad,,,,21.32,2421,1630,Incremental,-,-,-,New_Creatives_Ad_set,,,52,2026-01-23,2026-01-23
"Instagram post: 💕❤️💕 The innovative COCOON BREEZE...","Instagram post: 💕❤️💕 The innovative COCOON BREEZE...","Instagram post: 💕❤️💕 The innovative COCOON BREEZE...",2026-01-23,not_delivering,ad,,,,28.78,1630,1229,"7-day click",-,-,-,"Instagram post: 💕❤️💕 The innovative COCOON BREEZE...",,,26,2026-01-23,2026-01-23
RB_Cocoon_Australia_opening_15012026,Recliner,"AO - Recliner",2026-01-23,not_delivering,ad,,,,6.67,673,530,Incremental,-,-,-,Recliner,,,19,2026-01-23,2026-01-23
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Coccon Comfy Change Mat",2026-01-22,inactive,ad,,,,22.63,2616,1735,Incremental,-,-,-,New_Creatives_Ad_set,,,64,2026-01-22,2026-01-22
RB_Cocoon_Sales_081025,New_Creatives_Ad_set,"Vibe Dresser – Sandstone",2026-01-22,inactive,ad,,,,8.31,1070,769,Incremental,-,-,-,New_Creatives_Ad_set,,,22,2026-01-22,2026-01-22
